host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:32:10.126,122569,1.6731,0.2413,0.2564,0.2221
2026-07-15T10:32:10.229,122672,1.6598,0.2427,0.2541,0.2253
2026-07-15T10:32:10.332,122775,1.6612,0.2408,0.2518,0.2226
2026-07-15T10:32:10.435,122878,1.6626,0.245,0.2532,0.2294
2026-07-15T10:32:10.538,122981,1.6585,0.2431,0.2527,0.2285
2026-07-15T10:32:10.641,123084,1.6621,0.2427,0.2545,0.2258
2026-07-15T10:32:10.744,123187,1.6525,0.244,0.2536,0.2235
2026-07-15T10:32:10.847,123290,1.6589,0.2404,0.2477,0.223
2026-07-15T10:32:10.950,123393,1.6562,0.2436,0.2555,0.2239
2026-07-15T10:32:11.053,123496,1.6566,0.2418,0.2509,0.2276
2026-07-15T10:32:11.156,123599,1.6539,0.2454,0.2532,0.2253
2026-07-15T10:32:11.259,123702,1.658,0.2399,0.2568,0.223
2026-07-15T10:32:11.362,123805,1.658,0.2372,0.2532,0.2226
2026-07-15T10:32:11.465,123908,1.6562,0.2431,0.2568,0.2267
2026-07-15T10:32:11.568,124011,1.6598,0.2436,0.2545,0.2239
2026-07-15T10:32:11.671,124114,1.6585,0.2422,0.25,0.2312
2026-07-15T10:32:11.774,124217,1.6562,0.2422,0.2568,0.2262
2026-07-15T10:32:11.877,124320,1.6589,0.2422,0.2523,0.2244
2026-07-15T10:32:11.980,124423,1.6543,0.2422,0.2532,0.2253
2026-07-15T10:32:12.083,124526,1.6521,0.2395,0.2577,0.2226
2026-07-15T10:32:12.186,124629,1.6553,0.2413,0.2495,0.2244
2026-07-15T10:32:12.289,124732,1.6594,0.2472,0.2545,0.2244
2026-07-15T10:32:12.392,124835,1.6607,0.2463,0.2527,0.2235
2026-07-15T10:32:12.495,124938,1.6553,0.2436,0.2545,0.228
2026-07-15T10:32:12.597,125041,1.6557,0.2431,0.2509,0.2244
2026-07-15T10:32:12.700,125144,1.6612,0.245,0.2596,0.2235
2026-07-15T10:32:12.804,125247,1.6521,0.2431,0.255,0.2258
2026-07-15T10:32:12.907,125350,1.658,0.2381,0.2573,0.2262
2026-07-15T10:32:13.010,125453,1.6525,0.2436,0.2527,0.2267
