host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:37:35.980,5883,1.7293,0.2459,0.2523,0.2248
2026-07-15T10:37:36.133,6036,1.7042,0.245,0.2577,0.2271
2026-07-15T10:37:36.286,6189,1.7019,0.2399,0.2491,0.2267
2026-07-15T10:37:36.439,6342,1.6964,0.2431,0.2477,0.2276
2026-07-15T10:37:36.592,6495,1.7028,0.2386,0.2536,0.228
2026-07-15T10:37:36.745,6648,1.6987,0.2413,0.2527,0.2248
2026-07-15T10:37:36.898,6801,1.6936,0.2404,0.2568,0.2203
2026-07-15T10:37:37.051,6954,1.7005,0.2413,0.2491,0.2239
2026-07-15T10:37:37.204,7107,1.7028,0.2445,0.2513,0.2267
2026-07-15T10:37:37.357,7260,1.7005,0.2436,0.255,0.2235
2026-07-15T10:37:37.510,7413,1.6982,0.2422,0.2518,0.2322
2026-07-15T10:37:37.663,7566,1.6996,0.239,0.2564,0.2267
2026-07-15T10:37:37.816,7719,1.6987,0.2399,0.2513,0.2267
2026-07-15T10:37:37.969,7872,1.7019,0.2363,0.2541,0.2262
2026-07-15T10:37:38.122,8025,1.7069,0.244,0.2559,0.2253
2026-07-15T10:37:38.275,8178,1.695,0.2381,0.255,0.2184
2026-07-15T10:37:38.428,8331,1.6964,0.2454,0.2555,0.2326
2026-07-15T10:37:38.581,8484,1.6996,0.2454,0.2513,0.2235
2026-07-15T10:37:38.734,8637,1.7042,0.2395,0.2495,0.2244
2026-07-15T10:37:38.887,8790,1.6973,0.2463,0.2532,0.2226
2026-07-15T10:37:39.040,8943,1.7,0.244,0.2559,0.2235
2026-07-15T10:37:39.193,9096,1.6946,0.2408,0.2564,0.2285
2026-07-15T10:37:39.346,9249,1.6964,0.2436,0.2559,0.2235
2026-07-15T10:37:39.499,9402,1.7014,0.2427,0.2555,0.2294
2026-07-15T10:37:39.652,9555,1.7005,0.2436,0.2545,0.2276
2026-07-15T10:37:39.805,9708,1.7046,0.245,0.2513,0.2248
2026-07-15T10:37:39.958,9861,1.6987,0.2376,0.2632,0.2226
2026-07-15T10:37:40.111,10014,1.6987,0.2422,0.2536,0.2226
2026-07-15T10:37:40.264,10167,1.7037,0.2468,0.2541,0.2258
2026-07-15T10:37:40.417,10320,1.6955,0.2454,0.2504,0.2212
2026-07-15T10:37:40.570,10473,1.6959,0.2408,0.2491,0.223
